City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,kupiskis,55.8333,24.9667,270.93,97,100,5.18,LT,1702254456
330,mersing,2.4312,103.8405,298.1,100,40,1.54,MY,1702254457
331,buka,40.8108,69.1986,276.56,60,100,1.73,UZ,1702254458
332,shagonar,51.5333,92.8,242.42,98,98,0.48,RU,1702254460
333,greymouth,-42.4667,171.2,287.9,59,69,4.48,NZ,1702254461
334,sidney,-33.8679,151.2073,305.14,68,40,5.14,AU,1702254420
335,tamandare,-8.7597,-35.1047,298.69,78,60,3.03,BR,1702254463
336,kishtwar,33.3167,75.7667,277.07,31,100,2.03,IN,1702254464
337,scarborough,54.2797,-0.4044,281.29,93,99,1.79,GB,1702254304
338,pyetrykaw,52.1289,28.4921,272.76,93,100,4.07,BY,1702254467
339,kidal,18.4411,1.4078,292.47,19,2,7.37,ML,1702254376
340,murghob,38.1702,73.9667,254.56,64,22,1.75,TJ,1702254469
341,gadzhiyevo,69.2551,33.3362,259.67,89,95,7.22,RU,1702254471
342,fisterra,42.9049,-9.2629,291.34,85,100,10.71,ES,1702254472
343,bubaque,11.2833,-15.8333,301.37,63,100,4.48,GW,1702254473
344,kapuskasing,49.4169,-82.4331,267.2,86,100,5.14,CA,1702254475
345,del rio,29.3627,-100.8968,288.21,24,0,1.54,US,1702254476
346,kamakwie,9.5,-12.2333,297.04,36,100,0.16,SL,1702254477
347,marka,1.7159,44.7717,299.38,84,39,6.05,SO,1702254478
348,ouadda,8.0777,22.4007,295.35,42,70,1.32,CF,1702254470
349,iskateley,67.6803,53.1512,250.38,91,99,4.92,RU,1702254481
350,portland,45.5234,-122.6762,285.98,94,100,2.68,US,1702254327
351,chengde,40.9725,117.9361,265.8,80,100,0.95,CN,1702254337
352,watertown,42.3709,-71.1828,289.82,91,100,8.23,US,1702254256
353,temiskaming shores,47.4938,-79.7153,269.04,78,98,3.73,CA,1702254487
354,ataq,14.5377,46.8319,287.65,32,5,1.55,YE,1702254488
355,erenhot,43.6475,111.9767,260.6,47,75,1.91,CN,1702254490
356,usinsk,65.9939,57.5281,244.3,100,100,0.45,RU,1702254491
357,hilo,19.7297,-155.09,299.4,99,100,2.57,US,1702254493
358,wad az zaki,14.4619,32.2065,297.59,17,5,3.98,SD,1702254494
359,sao vicente,-23.9631,-46.3919,297.19,49,100,3.58,BR,1702254495
360,zhalantun,48.0,122.7167,245.59,88,5,2.6,CN,1702254496
361,bonthe,7.5264,-12.505,299.95,81,62,2.8,SL,1702254498
362,destin,30.3935,-86.4958,285.15,78,0,5.66,US,1702254276
363,boden,65.8252,21.6886,265.15,99,97,0.44,SE,1702254501
364,solnechnyy,50.7214,136.6319,249.83,85,15,1.37,RU,1702254502
365,teknaf,20.8624,92.3058,291.05,83,41,2.98,BD,1702254504
366,port alfred,-33.5906,26.891,289.92,94,33,1.51,ZA,1702254506
